Company Name,Country,Email Address,Notes
Manitowoc Crane Group,France,potain-miete@manitowoc.com,European Rental Department for Potain cranes
Grúas Aguilar,Spain,gruasaguilar@gruasaguilar.com,Self-propelled hydraulic mobile cranes
GH Cranes & Components,Portugal,geral@ghcranes.com,Equipment sales and intervention services
Gruest,Portugal,geral@gruest.pt,Telescopic crane rental since 1999
East Cork Crane Hire,Ireland,sales@eastcorkcranehire.ie,Crane hire services in Cork
Skyliners,Luxembourg,sky@skyliners.lu,Leading tower crane rental company in Luxembourg
Atlas Copco France,France,power.technique@fr.atlascopco.com,Construction equipment dealer near Paris
KRANE-POL,Poland,biuro@kranepol.pl,Lifting services nationwide with cranes 40-220 tons
BAUKRANE,Poland,biuro@baukrane.pl,Manufacturer and supplier with multiple branch locations
BAUKRANE Warsaw,Poland,warszawa@baukrane.pl,BAUKRANE branch office in Warsaw
BAUKRANE Kraków,Poland,krakow@baukrane.pl,BAUKRANE branch office in Kraków
BAUKRANE Gdańsk,Poland,gdansk@baukrane.pl,BAUKRANE branch office in Gdańsk
MEST Shipyard,Faroe Islands,sales@mest.fo,MELCAL cranes representative in Faroe Islands
XCMG Europe,Germany,info@xcmg-europe.de,Construction machinery dealer based in Krefeld
Kobelco Construction Machinery Europe,Netherlands,jos.verhulst@kobelco.com,Crane dealer with European headquarters
Skyline Arcomet Ltd (UPERIO),United Kingdom,sales@skylinearcomet.com,Part of Uperio Group
Highsparks TCS Ltd (UPERIO),United Kingdom,enquiries@highsparks.co.uk,Part of Uperio Group
Sarens Poland,Poland,info@sarens.pl,Global crane rental leader
Sarens Poland Gdańsk,Poland,gdansk@sarens.pl,Sarens Poland North Branch
Sarens Poland Sosnowiec,Poland,sosnowiec@sarens.pl,Sarens Poland South Branch
Sarens Poland Warsaw,Poland,warszawa@sarens.pl,Sarens Poland Warsaw Branch
Sarens Poland Płock,Poland,plock@sarens.pl,Sarens Poland Płock Branch
EUROGRUAS,Spain,info@eurogruas.com,Crane rental and special transport services
EURO TCS,United Kingdom,info@eurotcs.com,Euro Tower Crane Safety Systems
Bennetts Cranes,United Kingdom,sales@tower-crane.co.uk,Luffing jib and saddle jib cranes
Lifting Group,Sweden,info@lifting-group.com,Crane rental services
Anthony Cranes,Belgium,info@anthonycranes.be,Family-owned crane rental company in Antwerp
Mitti Gru Teknocranes,Italy,info@mittigru.com,City cranes and self-erecting cranes since 1962
Nordic Crane,Norway,kran.no@nordiccrane.com,Leading crane company in Scandinavia
WILBERT TowerCranes GmbH,Germany,info@wilbert.de,Manufacturer of trolley cranes and luffing jib cranes
WILBERT TowerCranes GmbH,Germany,vertrieb@wilbert.de,WILBERT sales and distribution
Volvo Construction Equipment,Sweden,customercenter.eskilstuna@volvo.com,Construction equipment dealer
WILBERT TowerCranes GmbH,Germany,dispo@wilbert.de,WILBERT disposition and installation
WILBERT TowerCranes GmbH,Germany,service@wilbert.de,WILBERT service department
WILBERT TowerCranes GmbH,Germany,aglaser@wilbert.de,WILBERT powder-coating department
Terex Tower Cranes,Switzerland,mktg.cranes@terex.com,Terex Tower Cranes marketing
Adamec Crane Systems,Czech Republic,poptavka@adamec.cz,Crane inquiry contact
Adamec Crane Systems,Czech Republic,servis@jeraby.cz,Service and spare parts
Kran Wien,Austria,kontakt@kranwien.at,Crane rental and sales
Kran Wien,Austria,office@kranwien.at,Crane rental and sales office
Penz Crane GmbH,Austria,office@penz-crane.com,Timber and recycling class cranes
Penz Crane GmbH,Austria,sales@penz-crane.com,Penz Crane sales department
Sjöman Helsingin Nosturit Oy,Finland,info@sjoman.com,Over 70 years experience mobile cranes 30-500 tons
Roar Wilhelmsen AS,Norway,ordre@roarwilhelmsen.no,Mobile cranes up to 500t
Volvo Construction Equipment Greece,Greece,info@vcequipment.gr,Volvo CE dealer in Greece
Atlas Copco Greece,Greece,catalin.finichiu@atlascopco.com,Atlas Copco service sales supervisor
Kuhn Baumaschinen Deutschland GmbH,Germany,office@kuhn-baumaschinen.de,Komatsu dealer in Germany
Komatsu Poland,Poland,info@komatsupoland.pl,Komatsu dealer in Poland
Kuhn Bohemia a.s.,Czech Republic,komatsu@kuhnbohemia.cz,Komatsu dealer in Czech Republic
Komatsu France,France,contact@komatsu.fr,Komatsu dealer in France
WOLFFKRAN International AG,Switzerland,info@wolffkran.com,WOLFFKRAN headquarters
WOLFFKRAN GmbH,Germany,info@wolffkran.de,WOLFFKRAN German office rental division
Kran Constanța,Romania,contact@kran.ro,Mobile cranes truck-mounted cranes forklifts
Felbermayr Romania S.R.L.,Romania,bukarest@felbermayr.ro,Transport crane rental working platforms
Atlas Copco Lithuania,Lithuania,sara.surakka@atlascopco.com,Atlas Copco compressors and handheld equipment
Equipment Provider SIA,Latvia,kristaps.andrusaitis@equipmentprovider.lv,Construction equipment dealer
Equipment Provider SIA,Latvia,gints.dumins@equipmentprovider.com,Construction equipment dealer
Pingon (Pinternal),Spain,pingon@pingon.es,Tower crane rental and customization
Redcrane Group,Spain,info@redcrane-group.com,SAEZ cranes new and used rental and sales
JMG Cranes S.p.A.,Italy,info@jmgcranes.com,Manufacturer of electric self-propelled cranes
DALL'AGLIO NEWCRANES S.r.l.,Italy,info@dallagliogroup.com,Tower crane manufacturer
G.m.D. sas di Gribaudo,Italy,gribaudo.gmd@libero.it,Demag distributor in Italy
Cecchini Service Srl,Italy,cecchini@cecchiniservice.it,Demag distributor in Italy
Tower Cranes UK (TCUK),United Kingdom,info@towercranesuk.com,Operating since 1997 luffing and saddle cranes
Giraffe Cranes,Netherlands,info@giraffecranes.nl,Crane rental company in Baak
Giraffe Cranes,Netherlands,sales@giraffecranes.nl,Giraffe Cranes sales department
Giraffe Cranes,Netherlands,service@giraffecranes.nl,Giraffe Cranes service department
Aertssen Lifting Antwerp,Belgium,antwerpen.lifting@aertssen.be,Aertssen Lifting Antwerp location
Aertssen Lifting Sales,Belgium,sales.lifting@aertssen.be,Aertssen Lifting sales department
Aertssen Lifting Limburg,Belgium,limburg.lifting@aertssen.be,Aertssen Lifting Limburg location
Aertssen Lifting Charleroi,Belgium,charleroi.lifting@aertssen.be,Aertssen Lifting Charleroi location
Aertssen Lifting Gent,Belgium,gent.lifting@aertssen.be,Aertssen Lifting Gent location
Aertssen Lifting Brussels,Belgium,brussel.lifting@aertssen.be,Aertssen Lifting Brussels location
Engcon Ireland Ltd,Ireland,ireland@engcon.com,Construction equipment dealer
Engcon Ireland Ltd,Ireland,sam.ryan@engcon.com,Engcon Ireland sales contact
Engcon Ireland Ltd,Ireland,nathan.mcrae@engcon.com,Engcon Ireland sales contact
Engcon Ireland Ltd,Ireland,andrew.badham@engcon.com,Engcon Ireland sales contact
Powerscreen Ireland,Ireland,sales@powerscreenireland.ie,Construction equipment dealer
Cormac Cogan Plant Sales Ltd,Ireland,info@ccps.ie,Construction equipment dealer
